Code poste;Nom poste;Fonction;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste
PRAG5;PRAGNERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.021958333333333333;42.824311111111115;42.8243111111, 0.0219583333333
LAZAR;LAZARET (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.7577166666666667;45.23001111111111;45.2300111111, -0.757716666667
PAUIL;PAUILLAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.75565;45.20569166666667;45.2056916667, -0.75565
CAZAR;CAZARIL;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;0.5140305555555555;43.171699999999994;43.1717, 0.514030555556
MURET;MURET;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.3412638888888888;43.44795;43.44795, 1.34126388889
LIMOU;LIMOUZAT (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.711377777777778;45.96576666666667;45.9657666667, 3.71137777778
BZBAK;BOURBAKI;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.0635972222222223;49.43655277777778;49.4365527778, 1.06359722222
GAUDI;GAUDIERE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;2.678513888888889;43.241775000000004;43.241775, 2.67851388889
LEGUG;LEGUGNON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.6347361111111111;43.20766666666667;43.2076666667, -0.634736111111
AVIG7;AVIGNONET;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.7934277777777776;43.36263888888889;43.3626388889, 1.79342777778
LUSSA;LUSSAGNET;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.22442777777777778;43.78017222222222;43.7801722222, -0.224427777778
BANNE;BANNE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.7522527777777777;46.288475;46.288475, 2.75225277778
GREPI;GREPILLES;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;4.117519444444444;46.082483333333336;46.0824833333, 4.11751944444
BAIXA;BAIXAS;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;2.8039666666666663;42.73241388888889;42.7324138889, 2.80396666667
GAILL;GAILLAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.8856833333333334;43.90314722222222;43.9031472222, 1.88568333333
SARR6;SARREGUEMINES;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;7.0774083333333335;49.095594444444444;49.0955944444, 7.07740833333
MONDI;MONDION;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;0.4531;46.92751944444444;46.9275194444, 0.4531
L.CE1;LAVAL-DE-CERE I;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.9485805555555555;44.953405555555555;44.9534055556, 1.94858055556
TUILI;TUILIERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.6332388888888889;44.846044444444445;44.8460444444, 0.633238888889
HERMI;HERMILLON;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;6.361955555555555;45.284708333333334;45.2847083333, 6.36195555556
NOUET;NOUETTES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.097658333333333;49.22705833333333;49.2270583333, 4.09765833333
LIVAR;LIVAROT;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.15249166666666666;49.01101388888889;49.0110138889, 0.152491666667
ETAUL;ETAULIERS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.5667388888888889;45.219186111111114;45.2191861111, -0.566738888889
REMIR;REMIREMONT;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.599513888888889;48.017583333333334;48.0175833333, 6.59951388889
DURRE;DURRE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.590852777777778;46.38683888888889;46.3868388889, 2.59085277778
P.TER;POIX-TERRON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.629975000000001;49.647841666666665;49.6478416667, 4.629975
SANCE;SANCERRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.8362083333333334;47.33838888888889;47.3383888889, 2.83620833333
BECHE;BECHE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.264525;45.38788611111111;45.3878861111, 2.264525
G.LUS;GAY-LUSSAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;7.33045;47.74230277777778;47.7423027778, 7.33045
MELI5;MELINCOLS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.861344444444444;46.94831111111111;46.9483111111, 5.86134444444
TOUVR;TOUVRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.24366666666666667;45.67041111111111;45.6704111111, 0.243666666667
L.BAR;LIGNY-EN-BARROIS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.331669444444445;48.680527777777776;48.6805277778, 5.33166944444
ESTER;ESTERRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.0025666666666666667;42.875125;42.875125, 0.00256666666667
MOUL8;MOULINEAUX;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.2686027777777777;48.82635277777778;48.8263527778, 2.26860277778
ORMES;ORMES;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;3.975138888888889;49.23598333333334;49.2359833333, 3.97513888889
GUCHE;GUCHEN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.3302111111111111;42.864472222222226;42.8644722222, 0.330211111111
MTFOR;MONTFORT (-L AMAURY);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.810125;48.78245833333333;48.7824583333, 1.810125
EYRE5;EYREIN;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.9035638888888888;45.338944444444444;45.3389444444, 1.90356388889
MERIG;MERIGNAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.6709388888888889;44.849536111111114;44.8495361111, -0.670938888889
CISSA;CISSAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-0.8435305555555556;45.21850555555556;45.2185055556, -0.843530555556
THERA;THERAIN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.115838888888889;49.414630555555554;49.4146305556, 2.11583888889
PAU;PAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.3598166666666667;43.28896111111111;43.2889611111, -0.359816666667
